BIL,State,Education District,School Level,Type of School,School Code,School Name,Correspondence Address,Poscode,City,Urban/Rural,Gov/Gov Aided,Enrollment,N. of Teachers,PreSchool,Integration,X Cood,Y Cood,Student:Teacher Ratio
1,Perak,Ppd Batang Padang,Rendah,SK,ABA0001,Sekolah Kebangsaan Toh Tandewa Sakti,Jalan Kelab,35000,Tapah,Bandar,Kerajaan,447.0,41.0,Ada,Ada,101.255932,4.196633,10.902
2,Perak,Ppd Batang Padang,Rendah,SK,ABA0002,Sekolah Kebangsaan Pendita Za'Ba,Jalan Tapah Road,35400,Tapah Road,Bandar,Kerajaan,389.0,33.0,Ada,Tiada,101.2006171,4.178275806,11.788
3,Perak,Ppd Batang Padang,Rendah,SK,ABA0003,Sekolah Kebangsaan Banir,Banir,35400,Tapah Road,Bandar,Kerajaan,43.0,12.0,Ada,Tiada,101.181893,4.204361,3.583
4,Perak,Ppd Batang Padang,Rendah,SK,ABA0004,Sekolah Kebangsaan Temoh,Kampung Temoh Stesen,35350,Temoh,Bandar,Kerajaan,111.0,18.0,Ada,Tiada,101.1728194,4.235840515,6.167
5,Perak,Ppd Batang Padang,Rendah,SK,ABA0005,Sekolah Kebangsaan Chenderiang,Jalan Chenderiang,35300,Chenderiang,Luar Bandar,Kerajaan,179.0,19.0,Ada,Tiada,101.240556,4.26798,9.421
6,Perak,Ppd Batang Padang,Rendah,SK,ABA0006,Sekolah Kebangsaan Bidor,Jalan Sungkai,35500,Bidor,Bandar,Kerajaan,296.0,28.0,Ada,Tiada,101.2885528,4.107830073,10.571
7,Perak,Ppd Batang Padang,Rendah,SK,ABA0007,Sekolah Kebangsaan Kampong Poh,Kampong Poh,35500,Bidor,Luar Bandar,Kerajaan,96.0,13.0,Ada,Tiada,101.333928,4.087714,7.385
8,Perak,Ppd Batang Padang,Rendah,SK,ABA0008,Sekolah Kebangsaan Batu Tiga,Kampung Batu Tiga,35350,Temoh,Bandar,Kerajaan,211.0,21.0,Ada,Tiada,101.2275938,4.225044552,10.048
9,Perak,Ppd Batang Padang,Rendah,SK,ABA0009,Sekolah Kebangsaan Batu Melintang,Kampung Batu Melintang,35000,Tapah,Bandar,Kerajaan,121.0,13.0,Ada,Tiada,101.2849985,4.199232221,9.308
10,Perak,Ppd Batang Padang,Rendah,SK,ABA0010,Sekolah Kebangsaan Haji Hasan,Changkat Petai,35400,Tapah Road,Bandar,Kerajaan,247.0,27.0,Ada,Tiada,101.151,4.126494,9.148
